compound	140905_32_1_RT_pos.mzML	140905_32_2_RT_pos.mzML	140905_32_3_RT_pos.mzML	140905_2_1_RT_pos.mzML	140905_2_2_RT_pos.mzML	140905_2_3_RT_pos.mzML	140905_2_4_RT_pos.mzML	140905_0_5_2_RT_pos.mzML	140905_0_5_3_RT_pos.mzML	140905_0_5_4_RT_pos.mzML	140905_16_3_RT_pos.mzML	140905_16_1_RT_pos.mzML	140905_16_2_RT_pos.mzML	140905_16_4_RT_pos.mzML	140905_0_1_RT_pos.mzML	140905_0_2_RT_pos.mzML	140905_0_3_RT_pos.mzML	140905_0_4_RT_pos.mzML	140905_1_2_RT_pos.mzML	140905_1_1_RT_pos.mzML	140905_1_3_RT_pos.mzML	140905_1_4_RT_pos.mzML	140905_8_1_RT_pos.mzML	140905_8_2_RT_pos.mzML	140905_8_3_RT_pos.mzML	140905_8_4_RT_pos.mzML	140905_4_2_RT_pos.mzML	140905_4_3_RT_pos.mzML	140905_4_1_RT_pos.mzML	140905_4_4_RT_pos.mzML	
xanthine	 0.00	254.04	 0.00	4072.60	3536.23	1759.42	1727.18	10720.73	8241.92	15332.62	 0.00	231.37	 0.00	321.45	8790.38	11329.19	9832.65	12043.83	3768.71	11845.25	4983.25	5769.53	 0.00	 0.00	 0.00	 0.00	726.68	228.48	875.80	1033.71	
valine	2642254.70	2699317.30	2961754.70	2697265.30	2515136.50	2634176.20	2677680.50	2204219.60	1852284.80	2243626.20	2936752.70	2630510.70	2548338.40	2502298.40	2800843.60	2652945.40	2642968.80	2118263.00	2018027.90	2311692.70	2272324.00	2144608.20	2887638.40	2379538.80	2694475.70	2852581.60	2842977.60	2881257.80	2708980.50	2750021.00	
aspartate	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	
acetylaspartate	234.07	 0.00	 0.00	1687.49	2291.62	2021.26	1696.44	1317.97	2114.89	755.36	 0.00	218.00	 0.00	 0.00	1434.43	1272.84	1856.56	3107.18	1050.88	1438.29	1412.84	2744.88	971.44	725.83	354.31	913.45	3416.04	672.10	3715.84	1393.30	
RBCholine	83863.13	93981.73	97271.98	73413.70	81507.12	182935.53	158603.47	60799.80	68765.18	71349.35	90473.00	79308.74	90097.73	82362.29	69127.92	71763.60	71521.08	73942.06	68632.16	64693.29	56216.08	68155.19	79996.36	74082.62	73101.10	111257.90	69479.83	79867.60	77741.25	74830.29	
RB(Choline)	15747.33	16661.41	16499.36	14373.44	15909.68	25798.19	23387.13	9751.12	7858.82	10161.55	17906.53	12644.72	15915.53	12669.04	14255.03	10887.41	12304.40	13681.27	9724.40	7139.89	6299.54	7530.49	15851.40	15751.97	12412.30	14892.36	11993.30	10353.41	13272.43	10489.89	
RBCytidine	64758.18	69499.70	59174.23	2323317.87	3381745.78	873716.05	828415.32	1572955.50	1835351.74	2255539.66	135431.15	114581.71	125367.44	89309.04	1641183.64	1406124.17	1633353.72	2360441.49	1690992.11	1911379.25	1666569.39	1843397.03	538055.36	506647.83	459658.87	553104.35	1715071.62	1182265.50	1651324.33	1139946.07	
RBCytosine	653120.08	749465.06	890084.63	2199900.92	2054317.69	1103738.60	1125116.89	1368237.77	1439573.75	1597869.61	1008638.13	862637.55	979409.64	606723.00	1260434.23	1195244.30	1118718.32	1244007.77	1260583.52	1995435.53	1429264.53	1648178.44	1134412.60	982019.69	938146.92	991006.11	1754569.93	1348771.44	1620019.84	1115159.88	
RBUridine	4241.89	5175.91	3512.56	85595.11	83863.73	43844.63	42514.49	44969.57	51417.45	54988.60	13245.80	9936.32	16047.47	9478.05	37520.98	36499.66	35840.25	42481.26	48014.23	68533.86	53108.66	55859.45	35467.54	31316.17	25070.08	30294.20	71956.69	51696.85	63673.30	51311.47	
RBRB 115.0869@8.49	24899.47	29304.76	29854.89	32439.73	25687.21	26140.37	23147.41	38307.27	43251.44	34799.77	28242.98	36453.36	27892.98	25621.65	30147.51	28995.92	22863.05	20720.28	35261.23	48067.99	33945.72	25485.21	24808.88	26643.46	26437.94	30049.01	34926.77	30820.08	32717.11	30885.44	
RB(N-acetylornithine - H2O)	8185.48	12529.55	9847.39	14096.62	9749.61	8094.59	11592.28	13051.51	10101.54	12816.50	10791.39	5617.50	9417.70	11423.62	14984.17	12672.22	9717.89	10621.68	17884.35	12591.94	8793.81	13297.87	9985.94	9614.17	8171.02	9641.24	10577.77	10049.24	15061.73	10821.08	
RBProline	680143.24	763435.86	906514.33	1167020.39	949167.41	564702.53	566822.74	1064970.77	1364575.80	1400576.62	1113350.33	819367.65	974788.29	690717.29	723083.83	812557.17	576331.13	741272.22	1106260.59	1517562.56	1100858.19	1130054.16	974124.40	965208.08	906005.27	890442.25	1353834.29	887172.45	988927.55	774978.86	
